no;programa;codigo_programa;nivel;codigo_snies;municipio;cupo;codigo_ficha;horario;sede;fecha_inicio;fecha_fin
1;LEVANTAMIENTOS TOPOGRAFICOS Y GEORREFERENCIACION;225311-1;TECNÓLOGO;110280;POPAYÁN;30;3313241;L a V 18:00 - 22:00 / S 8:00 - 18:00;SEDE ALTO CAUCA - Topografia - Aula 201;9-Oct-25;8-Jan-28
2;ELECTRICIDAD INDUSTRIAL;821222-4;TECNÓLOGO;108931;POPAYÁN;30;3313242;L a V 7:00 - 13:00;SEDE ALTO CAUCA - Electricidad 1;9-Oct-25;8-Jan-28
3;GESTIÓN EMPRESARIAL;621201-102;TECNÓLOGO;108636;POPAYÁN;30;3313221;L a V 13:00 - 19:00;SEDE ALTO CAUCA - Gestión empresarial 1;9-Oct-25;8-Oct-27
4;DIBUJO Y MODELADO ARQUITECTONICO Y DE INGENIERIA;225219-1;TECNÓLOGO;109865;POPAYÁN;30;3313228;L a V 13:00 - 19:00;SEDE ALTO CAUCA - Dibujo - Aula 203;9-Oct-25;8-Jan-28
5;ANALISIS Y DESARROLLO DE SOFTWARE.;228118-1;TECNÓLOGO;110595;POPAYÁN;30;3312934;L a V 13:00 - 19:00;SEDE ALTO CAUCA - Software 1;9-Oct-25;8-Jan-28
6;ANALISIS Y DESARROLLO DE SOFTWARE.;228118-1;TECNÓLOGO;110595;POPAYÁN;30;3312932;L a V 7:00 - 13:00;SEDE ALTO CAUCA - Software 2;9-Oct-25;8-Jan-28
7;IMPLEMENTACION DE REDES Y SERVICIOS DE TELECOMUNICACIONES;821203-1;TECNÓLOGO;110310;POPAYÁN;30;3313175;L a V 7:00 - 13:00;SEDE ALTO CAUCA - Telecomunicaciones 1;9-Oct-25;8-Jan-28
8;CONSTRUCCION DE INFRAESTRUCTURA VIAL;223107-1;TECNÓLOGO;110445;POPAYÁN;30;3313194;L a V 18:00 - 22:00 / S 8:00 - 18:00;SEDE ALTO CAUCA - Construccion - Aula 205;9-Oct-25;8-Jan-28
9;PREVENCION Y CONTROL AMBIENTAL;222319-1;TECNÓLOGO;111212;POPAYÁN;30;3313002;L a V 18:00 - 22:00 / S 8:00 - 18:00;SENA SEDE CALLE 5  CON CRA 14 ESQUINA BARRIO VALENCIA;9-Oct-25;8-Jan-28
10;SUPERVISION EN SISTEMAS DE AGUA Y SANEAMIENTO;921200-1;TECNÓLOGO;110483;POPAYÁN;30;3312989;L a V 18:00 - 22:00 / S 8:00 - 18:00;SENA SEDE CALLE 5  CON CRA 14 ESQUINA BARRIO VALENCIA;9-Oct-25;8-Jan-28
11;ANALISIS Y DESARROLLO DE SOFTWARE.;228118-1;TECNÓLOGO;110595;POPAYÁN;30;3312943;L a V 7:00 - 13:00;SENA SEDE CALLE 5  CON CRA 14 ESQUINA BARRIO VALENCIA;9-Oct-25;8-Jan-28
12;ACTIVIDAD FISICA;525214-2;TECNÓLOGO;109234;POPAYÁN;30;3312936;L a V 18:00 - 22:00 / S 8:00 - 18:00;SEDE ALTO CAUCA - Deportes 1;9-Oct-25;8-Jan-28
13;ANALISIS Y DESARROLLO DE SOFTWARE.;228118-1;TECNÓLOGO;110595;POPAYÁN;30;3313213;L a V 13:00 - 19:00;SENA SEDE CALLE 5  CON CRA 14 ESQUINA BARRIO VALENCIA;9-Oct-25;8-Jan-28
14;AUTOMATIZACION DE SISTEMAS MECATRONICOS;224312-1;TECNÓLOGO;110229;POPAYÁN;30;3313054;L a V 7:00 - 13:00;SEDE ALTO CAUCA - Mecatrónica;9-Oct-25;8-Jan-28
15;GESTION DEL MANTENIMIENTO DE AUTOMOTORES.;821620-1;TECNÓLOGO;111118;POPAYÁN;30;3313150;L a V 13:00 - 19:00;SEDE ALTO CAUCA - Mecanica - Aula 1;9-Oct-25;8-Jan-28
16;CONSTRUCCION DE EDIFICACIONES;836138-1;TÉCNICO;NA;POPAYÁN;30;3313001;L a V 7:00 - 13:00;SEDE ALTO CAUCA - Construccion - Aula 205;9-Oct-25;8-Jan-27
17;ASISTENCIA PARA LA INTELIGENCIA EMPRESARIAL;134104-1;TÉCNICO;NA;POPAYÁN;30;3313161;L a V 18:00 - 22:00 / S 8:00 - 18:00;SEDE ALTO CAUCA - Gestión empresarial 1;9-Oct-25;8-Jan-27
18;CONSTRUCCIONES LIVIANAS INDUSTRIALIZADAS EN SECO;836135-1;TÉCNICO;NA;POPAYÁN;30;3313188;L a V 18:00 - 22:00 / S 8:00 - 18:00;SEDE ALTO CAUCA - Hidrosanitarias;9-Oct-25;8-Jan-27
19;MANTENIMIENTO DE MOTOCICLETAS Y MOTOCARROS.;838318-1;TÉCNICO;NA;POPAYÁN;30;3313170;L a V 7:00 - 13:00;SEDE ALTO CAUCA - Motocicletas;9-Oct-25;8-Jan-27
20;MANTENIMIENTO E INSTALACION DE SISTEMAS SOLARES FOTOVOLTAICOS;832333-1;TÉCNICO;NA;POPAYÁN;30;3313167;L a V 13:00 - 19:00;SEDE ALTO CAUCA - Electricidad 2;9-Oct-25;8-Jan-27
21;INSTALACION DE SISTEMAS ELECTRICOS RESIDENCIALES Y COMERCIALES;832202-2;TÉCNICO;NA;POPAYÁN;30;3313119;L a V 7:00 - 13:00;SEDE ALTO CAUCA - Electricidad 1;9-Oct-25;8-Jan-27
22;EJECUCION DE PROGRAMAS DEPORTIVOS.;664212-1;TÉCNICO;NA;POPAYÁN;30;3313125;L a V 7:00 - 13:00;SENA SEDE CALLE 5  CON CRA 14 ESQUINA BARRIO VALENCIA;9-Oct-25;8-Jan-27
23;ELABORACION DE AUDIOVISUALES.;522211-2;TÉCNICO;NA;POPAYÁN;30;3313068;L a V 13:00 - 19:00;SEDE ALTO CAUCA - Audiovisuales 1 ;9-Oct-25;8-Jan-27
24;INSTALACION Y MANTENIMIENTO DE REDES INTERNAS DE TELECOMUNICACIONES;832402-1;TÉCNICO;NA;POPAYÁN;30;3313148;L a V 18:00 - 22:00 / S 8:00 - 18:00;SEDE ALTO CAUCA - Telecomunicaciones 1;9-Oct-25;8-Jan-27
25;INSTALACION DE REDES DE COMPUTADORES .;233102-1;TÉCNICO;NA;POPAYÁN;30;3313179;L a V 18:00 - 22:00 / S 8:00 - 18:00;SEDE ALTO CAUCA - Redes de datos;9-Oct-25;8-Jan-27
26;EJECUCION DE PROGRAMAS DEPORTIVOS.;664212-1;TÉCNICO;NA;POPAYÁN;30;3313098;L a V 13:00 - 19:00;SENA SEDE CALLE 5  CON CRA 14 ESQUINA BARRIO VALENCIA;9-Oct-25;8-Jan-27
27;CONSTRUCCION DE EDIFICACIONES;836138-1;TÉCNICO;NA;POPAYÁN - VRD. EL SENDERO;30;3313025;L a V 7:00 - 13:00;Salon Comunal vereda el Sendero;9-Oct-25;8-Jan-27
28;MANEJO DE MAQUINARIA DE CONFECCION INDUSTRIAL.;935100-1;OPERARIO;NA;POPAYÁN;30;3313003;L a V 13:00 - 19:00;SEDE ALTO CAUCA - Confecciones 2;9-Oct-25;8-Jul-26
29;ELABORACION DE PRENDAS DE VESTIR SOBRE MEDIDAS;842200-3;TÉCNICO;NA;SILVIA;30;3312891;L a V 13:00 - 18:00 / S 8:00 - 18:00;salón en la alcaldía del municipio;9-Oct-25;8-Jan-27
30;SISTEMAS TELEINFORMÁTICOS;233108-1;TÉCNICO;NA;MERCADERES;30;3313109;L a V 7:00 - 13:00;SALA SACUDETE DEL MUNICIPIO;9-Oct-25;8-Jan-27
31;CONSTRUCCION DE EDIFICACIONES;836138-1;TÉCNICO;NA;TIMBIO;30;3313034;L a V 7:00 - 13:00;salón en la Alcaldía del municipio;9-Oct-25;8-Jan-27
32;CONSTRUCCION DE EDIFICACIONES;836138-1;TÉCNICO;NA;LA SIERRA;30;3313173;L a V 7:00 - 13:00;Colegio Agropecuario La Cuchilla;9-Oct-25;8-Jan-27
33;SISTEMAS TELEINFORMÁTICOS;233108-1;TÉCNICO;NA;MORALES;30;3313011;L a V 13:00 - 19:00;casa de la cultura;9-Oct-25;8-Jan-27
34;ANALISIS Y DESARROLLO DE SOFTWARE.;228118-1;TECNÓLOGO;110595;GUAPI;30;3313201;L a V 7:00 - 13:00;SALA DE SISTEMAS ;9-Oct-25;8-Jan-28
35;CONSTRUCCION DE ESTRUCTURAS EN CONCRETO;836201-2;OPERARIO;NA;TIMBIQUI;30;3313050;L a V 7:00 - 13:00;salón en la Alcaldía del municipio;9-Oct-25;8-Jul-26
36;SUPERVISION EN SISTEMAS DE AGUA Y SANEAMIENTO;921200-1;TECNÓLOGO;110483;SANTANDER DE QUILICHAO;30;3313210;L a V 7:00 - 13:00;SEDE LA SAMARIA - Laboratorio Ambiental;9-Oct-25;8-Jan-28
37;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;226701-1;TECNÓLOGO;111637;SANTANDER DE QUILICHAO;30;3313203;L a V 7:00 - 13:00;SEDE LA SAMARIA - Taller Logística Y Producción Industrial;9-Oct-25;8-Jan-28
38;PROGRAMACION DE SOFTWARE .;233104-2;TÉCNICO;NA;SANTANDER DE QUILICHAO;30;3313032;L a V 13:00 - 19:00;SEDE LA CASONA - Ambiente 1 TICs;9-Oct-25;8-Jan-27
39;MANTENIMIENTO ELECTRICO Y CONTROL ELECTRONICO DE AUTOMOTORES;838200-1;TÉCNICO;NA;SANTANDER DE QUILICHAO;30;3313087;L a V 13:00 - 18:00 / S 7:00 - 13:00;SEDE LA SAMARIA - Taller Mecánica Automotriz;9-Oct-25;8-Jan-27
40;SISTEMAS TELEINFORMÁTICOS;233108-1;TÉCNICO;NA;SANTANDER DE QUILICHAO;30;3313144;L a V 13:00 - 19:00;SEDE LA CASONA - Ambiente 2;9-Oct-25;8-Jan-27
41;FABRICACION METALMECANICA;961202-1;AUXILIAR;NA;PUERTO TEJADA;30;3313014;L a V 7:00 - 13:00;salón en la alcaldía del municipio;9-Oct-25;8-Jul-27